doi;hal;ads_ok;ads_ko;ma_ok;xref_ok;xref_ko;scigraph;elsevier;plos;ma_ko
10.1016/j.jeurceramsoc.2016.12.053;;;;1;;;;1;;1
10.1016/j.matdes.2016.10.014;;;;1;;;;1;;1
10.1016/j.jece.2017.01.019;;;;1;;;;1;;1
10.1016/j.gca.2016.10.017;1;;;1;;;;1;;1
10.1016/j.elspec.2017.01.002;;;;1;;;;1;;1
10.1016/j.bmc.2016.11.032;;;;1;;;;1;;1
10.1016/j.bbagen.2017.01.012;;;;1;;;;1;;1
10.1016/j.carbon.2016.09.058;;;;1;;;;1;;1
10.1016/j.electacta.2016.12.028;;;;1;;;;1;;1
10.1016/j.scriptamat.2016.12.026;1;;;1;;;;1;;1
10.1016/j.jmmm.2016.12.014;;;;1;;;;1;;1
10.1016/j.seppur.2016.10.039;;;;1;;;;1;;1
10.1016/j.actamat.2016.12.005;1;;;1;;;;1;;1
10.1016/j.jnucmat.2016.10.044;;;;1;;;;1;;1
10.1016/j.chembiol.2016.12.010;1;;;1;;;;1;;1
10.1016/j.catcom.2016.12.020;;;;1;;;;1;;1
10.1016/j.memsci.2017.01.019;;;;1;;;;1;;1
10.1016/j.envpol.2016.11.056;1;;;1;;;;1;;1
10.1016/j.nima.2016.11.039;;;;1;;;;1;;1
10.1016/j.commatsci.2016.10.046;;;;1;;;;1;;1
10.1016/j.jaci.2016.10.035;;;;1;;;;1;;1
10.1063/1.4974819;;;;1;;;;;;1
10.1016/j.jsb.2016.12.004;;;;1;;;;1;;1
10.1021/jacs.6b11487;;;;1;;;;;;1
10.1016/j.jmmm.2016.12.083;;;;1;;;;1;;1
10.1016/j.jcrysgro.2016.12.060;;;;1;;;;1;;1
10.1016/j.jmmm.2016.12.097;;;;1;;;;1;;1
10.1016/j.chemgeo.2016.12.021;;;;1;;;;1;;1
10.1016/j.ijhydene.2016.11.117;;;;1;;;;1;;1
10.1016/j.jcrysgro.2016.12.079;1;;;1;;;;1;;1
10.1016/j.bbagen.2016.12.012;1;;;1;;;;1;;1
10.1016/j.chemgeo.2016.12.036;1;;;1;;;;1;;1
10.1093/nar/gkw1147;;;;1;;;;;;1
10.1016/j.bbrc.2016.12.183;;;;1;;;;1;;1
10.1016/j.str.2016.12.014;;;;1;;;;1;;1
10.1103/physrevb.97.020104;;;;1;;;;;;
10.1016/j.bbapap.2016.12.006;;;;1;;;;1;;1
10.1016/j.ejmech.2016.10.030;;;;1;;;;1;;1
10.1016/j.msea.2017.01.103;1;;;1;;;;1;;1
10.1016/j.str.2016.11.014;;;;1;;;;1;;1
10.1002/adma.201602327;1;;;1;;;;;;1
10.1063/1.4966583;;;;1;;;;;;1
10.1002/adma.201604447;;;;1;;;;;;1
10.1016/j.elspec.2017.01.003;;;;1;;;;1;;1
10.1080/08912963.2015.1123554;;;;1;;;;;;1
10.1016/j.jcis.2016.10.060;;;;1;;;;1;;1
10.1016/j.str.2016.11.015;;;;1;;;;1;;1
10.1016/j.proeps.2016.12.080;;;;1;;;;1;;1
10.1016/j.ejmech.2016.12.023;;;;1;;;;1;;1
10.1016/j.compstruct.2016.12.025;;;;1;;;;1;;1
10.1016/j.ejpb.2016.10.010;;;;1;;;;1;;1
10.1016/j.jhazmat.2016.01.028;1;;;1;;;;1;;1
10.1016/j.ijbiomac.2016.10.049;;;;1;;;;1;;1
10.1016/j.triboint.2016.12.026;1;;;1;;;;1;;1
10.1021/jacs.6b11857;;;;1;;;;;;1
10.1016/j.carbpol.2016.10.050;;;;1;;;;1;;1
10.1016/j.jssc.2016.10.002;;;;1;;;;1;;1
10.1016/j.jallcom.2016.11.337;;;;1;;;;1;;1
10.1016/j.bbalip.2017.01.003;;;;1;;;;1;;1
10.1016/j.memsci.2016.11.078;;;;1;;;;1;;1
10.1016/j.jallcom.2017.01.115;;;;1;;;;1;;1
10.1016/j.actamat.2016.10.076;;;;1;;;;1;;1
10.1016/j.str.2016.11.003;;;;1;;;;1;;1
10.1016/j.pepi.2017.01.004;;;;1;;;;1;;1
10.1016/j.poly.2016.09.066;;;;1;;;;1;;1
10.1016/j.radmeas.2017.01.011;;;;1;;;;1;;1
10.1016/j.apsusc.2017.01.046;;;;1;;;;1;;1
10.1016/j.str.2016.12.018;;;;1;;;;1;;1
10.1016/j.mencom.2017.01.021;;;;1;;;;1;;1
10.1016/j.scriptamat.2016.12.012;;;;1;;;;1;;1
10.1016/j.jallcom.2016.09.176;;;;1;;;;1;;1
10.1016/j.jmb.2016.12.022;;;;1;;;;1;;1
10.1016/j.earscirev.2017.01.007;;;;1;;;;1;;1
10.1016/j.polymer.2017.01.040;;;;1;;;;1;;1
10.1016/j.cretres.2017.01.004;;;;1;;;;1;;1
10.1016/j.actamat.2017.01.059;;;;1;;;;1;;1
10.1016/j.tetlet.2017.01.030;;;;1;;;;1;;1
10.1016/j.str.2016.11.022;;;;1;;;;1;;1
10.1111/jmi.12524;;;;1;;;;;;1
10.1016/j.str.2016.11.023;;;;1;;;;1;;1
10.1016/j.gca.2016.12.033;;;;1;;;;1;;1
10.1016/j.chemer.2017.01.006;;;;1;;;;1;;1
10.1016/j.actamat.2016.09.027;;;;1;;;;1;;1
10.1016/j.mee.2017.01.017;;;;1;;;;1;;1
10.1016/j.intermet.2016.09.008;;;;1;;;;1;;1
10.1016/j.jnucmat.2017.01.008;;;;1;;;;1;;1
10.1016/j.proeps.2016.12.146;1;;;1;;;;1;;1
10.1016/j.jcis.2017.01.059;;;;1;;;;1;;1
10.1088/2053-1591/aa5e5a;;;;1;;;;;;1
10.1016/j.bbamem.2017.01.012;;;;1;;;;1;;1
10.1127/ejm/2017/0029-2616;;;;1;;;;;;1
10.1016/j.jmb.2017.01.008;;;;1;;;;1;;1
10.1016/j.nimb.2016.12.046;;;;1;;;;1;;1
10.1016/j.jsb.2016.12.012;;;;1;;;;1;;1
10.1016/j.str.2016.12.005;;;;1;;;;1;;1
10.1016/j.pnsc.2016.12.007;;;;1;;;;1;;1
10.1021/acs.est.6b04035;;;;1;;;;;;1
10.1093/nar/gkw1351;;;;1;;;;;;1
10.1016/j.media.2017.02.006;;;;1;;;;1;;1
10.1039/c6cc07684j;;;;1;;;;;;1
10.1021/acscatal.6b03145;;;;1;;;;;;1
10.1016/j.str.2016.10.011;;;;1;;;;1;;1
10.1063/1.4974100;;;;1;;;;;;1
10.1021/acs.macromol.6b02471;;;;1;;;;;;1
10.1002/adem.201600721;;;;1;;;;;;1
10.1016/j.pepi.2017.02.009;1;;;1;;;;1;;1
10.1111/1462-2920.13479;;;;1;;;;;;1
10.1038/ncomms14352;;;;1;;;1;;;1
10.1007/s10948-016-3771-0;;;;1;;;1;;;1
10.1038/srep41512;;;;1;;;1;;;1
10.1038/srep41054;;;;1;;;1;1;;1
10.1016/j.scriptamat.2017.02.024;;;;1;;;;1;;1
10.1080/08940886.2017.1267587;;;;1;;;;;;1
10.1016/b978-0-12-811301-1.00007-1;;;;1;;;;1;;
10.1016/j.memsci.2017.01.062;;;;1;;;;1;;1
10.1073/pnas.1613006114;1;;;1;;;;1;;1
10.1016/j.epsl.2017.01.017;;;;1;;;;1;;1
10.1063/1.4974106;;;;1;;;;;;1
10.1038/srep42163;;;;1;;;1;;;1
10.1016/j.apcatb.2017.02.052;;;;1;;;;1;;1
10.1016/j.scriptamat.2017.01.025;;;;1;;;;1;;1
10.1098/rsos.161030;;;;1;;;;;;1
10.1007/s00114-017-1455-7;;;;1;;;1;;;1
10.1021/acs.chemmater.6b05218;;;;1;;;;;;1
10.1107/s1600576718003552;;;;1;;;;;;
10.1021/acs.inorgchem.6b02294;;;;1;;;;;;1
10.1021/acs.jpcb.6b11220;;;;1;;;;;;1
10.1038/ncomms14011;;;;1;;;1;;;1
10.1021/acs.jmedchem.6b01574;;;;1;;;;;;1
10.1021/acs.jpclett.6b02594;;;;1;;;;;;1
10.1038/srep39680;;;;1;;;1;;;1
10.1021/acs.jmedchem.6b01420;;;;1;;;;;;1
10.1038/nmat4757;;;;1;;;1;;;1
10.1107/s205225251701836x;1;;;1;;;;;;
10.1021/acs.jmedchem.6b01055;;;;1;;;;;;1
10.1021/acsmedchemlett.6b00281;;;;1;;;;;;1
10.1371/journal.pone.0171043;;;;1;;;;;1;1
10.1364/oe.26.011110;1;;;1;;;;;;
10.1371/journal.ppat.1006134;1;;;1;;;;;;1
10.1073/pnas.1616998114;;;;1;;;;;;1
10.1088/1361-6463/aa5629;;;;1;;;;;;1
10.1038/ncomms14236;;;;1;;;1;;;1
10.1038/srep40948;1;;;1;;;1;;;1
10.1063/1.4974013;1;;;1;;;;;;1
10.1063/1.4973341;;;;1;;;;;;1
10.1038/srep41811;1;;;1;;;1;;;1
10.1038/ncomms13935;;;;1;;;1;;;1
10.1088/1361-6668/aa5732;;;;1;;;;;;1
10.1088/1402-4896/aa547f;;;;1;;;;;;1
10.1088/1361-6528/aa5657;;;;1;;;;;;1
10.1021/acs.biochem.6b01140;;;;1;;;;;;1
10.1021/acs.inorgchem.6b02581;;;;1;;;;;;1
10.1371/journal.pone.0166671;;;;1;;;;;;1
10.1088/1361-6668/aa599c;;;;1;;;;;;1
10.1007/978-3-319-43866-5_8;;;;1;;;1;;;1
10.1111/jace.14452;1;;;1;;;;;;1
10.3390/min7020018;;;;;;;;;;1
10.1002/polb.24254;;;;1;;;;;;1
10.1111/jace.14481;;;;1;;;;;;1
10.1007/s10853-016-0643-8;;;;1;;;1;;;1
10.2138/am-2017-5856;;;;1;;;;;;1
10.1021/acs.nanolett.6b04291;;;;1;;;;;;1
10.3791/54861;;;;1;;;;;;1
10.1093/nar/gkx043;;;;1;;;;;;1
10.1002/anie.201609365;;;;1;;;;;;1
10.1002/pro.3085;;;;1;;;;;;1
10.3390/ph10010009;;;;;;;;;;1
10.15252/embr.201643353;1;;;1;;;;;;1
10.1002/pro.3073;;;;1;;;;;;1
10.1002/cmdc.201600529;;;;1;;;;;;1
10.1111/febs.13953;;;;1;;;;;;1
10.1002/prot.25197;;;;1;;;;;;1
10.1002/chem.201604407;;;;1;;;;;;1
10.1007/s10853-016-0715-9;;;;1;;;1;;;1
10.1093/nar/gkw1124;;;;1;;;;;;1
10.1098/rsta.2016.0031;;;;1;;;;;;1
10.1038/nature20594;;;;1;;;1;;;1
10.7185/geochemlet.1711;1;;;1;;;;;;1
10.1007/978-1-4939-6598-4_5;;;;1;;;1;;;1
10.1007/978-3-319-28338-8_7;;;;1;;;1;;;1
10.1002/chem.201605911;;;;1;;;;;;1
10.1016/j.ijsolstr.2017.02.018;1;;;1;;;;1;;1
10.1126/science.aak9654;;;;1;;;;;;1
10.1021/acs.langmuir.6b04282;;;;1;;;;;;1
10.1021/acs.nanolett.6b04652;;;;1;;;;;;1
10.1088/1361-6501/28/1/017001;;;;1;;;;;;1
10.1007/s00253-016-8038-y;;;;1;;;1;;;1
10.1007/s00269-016-0867-9;;;;1;;;1;;;1
10.1002/ejic.201601399;;;;1;;;;;;1
10.1038/srep42592;;;;1;;;1;;;1
10.1007/978-3-319-43866-5_13;;;;1;;;1;;;1
10.1007/978-3-319-44439-0_3;;;;1;;;1;;;1
10.1007/978-3-319-43866-5_6;;;;1;;;1;;;1
10.1111/php.12699;;;;1;;;;;;1
10.1038/nsmb.3351;;;;1;;;1;;;1
10.1002/zaac.201600449;;;;1;;;;;;1
10.1016/j.mtchem.2017.02.005;;;;1;;;;1;;1
10.1002/cctc.201601281;;;;1;;;;;;1
10.1088/1361-6463/aa59d3;;;;1;;;;;;1
10.1021/acs.cgd.6b01631;;;;1;;;;;;1
10.1016/j.dyepig.2017.02.006;;;;1;;;;1;;1
10.1021/jacs.6b11220;;;;1;;;;;;1
10.1038/srep46625;;;;1;;;1;;;1
10.1038/cdd.2017.76;;;;1;;;1;;;1
10.1038/srep46282;;;;1;;;1;;;1
10.1021/acs.jpclett.6b02957;;;;1;;;;;;1
10.1038/srep46045;;;;1;;;1;;;1
10.1021/acs.jpclett.7b00332;;;;1;;;;;;1
10.1021/acs.inorgchem.7b00401;;;;1;;;;;;1
10.1038/s41598-017-00919-w;;;;1;;;1;;;1
10.1021/acs.jpcc.7b01424;;;;1;;;;;;1
10.1021/acs.jmedchem.7b00274;;;;1;;;;;;1
10.1261/rna.059733.116;;;;1;;;;;;1
10.1038/ncomms15052;;;;1;;;1;;;1
10.1038/s41598-017-01102-x;;;;1;;;1;;;1
10.1038/s41598-017-01031-9;;;;1;;;1;;;1
10.1002/prot.25265;;;;1;;;;;;1
10.1088/1361-6668/aa6376;;;;;;;;;;1
10.1021/acs.inorgchem.7b00330;;;;1;;;;;;1
10.1016/j.vacuum.2017.02.004;;;;1;;;;1;;1
10.1016/j.jcat.2016.11.040;;;;1;;;;1;;1
10.1016/j.matdes.2017.01.092;;;;1;;;;1;;1
10.1016/j.jtbi.2017.02.018;;;;1;;;;1;;1
10.1016/j.gca.2017.01.042;;;;1;;;;1;;1
10.1016/j.jsb.2017.01.005;;;;1;;;;1;;1
10.1016/j.crpv.2016.12.002;;;;1;;;;1;;1
10.1016/j.actamat.2017.02.048;1;;;1;;;;1;;1
10.1016/j.ejmech.2017.02.017;;;;1;;;;1;;1
10.1016/j.chemosphere.2017.02.093;;;;1;;;;1;;1
10.1016/j.epsl.2017.01.047;;;;1;;;;1;;1
10.1080/17435390.2016.1277274;;;;1;;;;;;1
10.1016/j.jallcom.2017.02.154;;;;1;;;;1;;1
10.1016/j.colsurfb.2017.02.014;;;;1;;;;1;;1
10.1016/j.scitotenv.2017.02.177;;;;1;;;;1;;1
10.1016/j.actamat.2017.02.067;;;;1;;;;1;;1
10.1016/j.sab.2017.02.013;;;;1;;;;1;;1
10.1016/j.nimb.2017.02.028;;;;1;;;;1;;1
10.1016/j.bbapap.2017.02.013;;;;1;;;;1;;1
10.1016/j.actamat.2017.02.069;;;;1;;;;1;;1
10.1002/2017jb014964;;;;1;;;;;;
10.1016/j.cattod.2017.02.020;;;;1;;;;1;;1
10.1016/j.jhazmat.2017.02.003;;;;1;;;;1;;1
10.1016/j.cell.2017.01.024;;;;1;;;;1;;1
10.1039/c8nr01481g;;;;1;;;;;;
10.1016/j.radphyschem.2017.02.047;;;;1;;;;1;;1
10.1038/srep42847;;;;1;;;1;;;1
10.1021/acs.jpcc.6b10932;;;;1;;;;;;1
10.1371/journal.pone.0172047;1;;;1;;;;;1;1
10.1038/srep42971;;;;1;;;1;;;1
10.1007/978-3-319-52392-7_87;;;;1;;;1;;;1
10.1007/978-3-319-28338-8_1;;;;1;;;1;;;1
10.1002/adma.201604430;;;;1;;;;;;1
10.1016/j.colsurfa.2017.03.011;;;;1;;;;1;;1
10.1093/nar/gkw1165;;;;1;;;;;;1
10.3390/ma10030268;;;;1;;;;;;1
10.1016/j.cattod.2016.10.024;;;;1;;;;1;;1
10.1021/acs.chemmater.6b03418;;;;1;;;;;;1
10.1038/nmat4793;;;;1;;;1;;;1
10.1016/j.jmmm.2017.02.058;;;;1;;;;1;;1
10.1016/j.bulcan.2017.01.012;;;;1;;;;1;;1
10.1016/j.tafmec.2017.03.008;;;;1;;;;1;;1
10.1016/j.actamat.2017.03.003;;;;1;;;;1;;1
10.1016/j.actatropica.2017.03.007;;;;1;;;;1;;1
10.1016/j.chom.2017.02.009;;;;1;;;;1;;1
10.1016/j.foodhyd.2017.03.021;;;;1;;;;1;;1
10.1016/j.ijhydene.2017.02.148;;;;1;;;;1;;1
10.1016/j.jcrysgro.2017.03.025;1;;;1;;;;1;;1
10.1016/j.jallcom.2017.03.168;;;;1;;;;1;;1
10.1016/j.actamat.2017.03.039;;;;1;;;;1;;1
10.1021/acs.jpcc.7b00354;;;;1;;;;;;1
10.1016/j.bbapap.2017.03.003;;;;1;;;;1;;1
10.1016/j.gca.2017.03.004;;;;1;;;;1;;1
10.1155/2017/8940321;;;;1;;;;;;1
10.1038/onc.2016.354;;;;1;;;1;;;1
10.1016/j.polymer.2017.04.033;;;;1;;;;1;;1
10.1016/j.apenergy.2017.03.094;;;;1;;;;1;;1
10.1021/acs.jpcb.7b02448;1;;;1;;;;;;1
10.1038/nmeth.4074;1;;;1;;;1;;;1
10.1016/j.ijrobp.2017.03.025;;;;1;;;;1;;1
10.1063/1.4975605;;;;1;;;;;;1
10.1016/j.engfracmech.2017.03.021;;;;1;;;;1;;1
10.1016/j.jlumin.2017.03.058;;;;1;;;;1;;1
10.1016/j.carres.2017.03.010;;;;1;;;;1;;1
10.1021/acs.jpcb.6b12814;;;;1;;;;;;1
10.1016/j.mcat.2017.03.023;;;;1;;;;1;;1
10.1016/j.ejmech.2017.03.081;;;;1;;;;1;;1
10.1073/pnas.1619484114;;;;1;;;;;;1
10.1016/j.jaridenv.2017.03.012;;;;1;;;;1;;1
10.1016/j.jmb.2017.03.026;;;;1;;;;1;;1
10.1016/j.mattod.2017.02.002;1;;;1;;;;1;;1
10.1016/j.chemgeo.2017.03.035;1;;;1;;;;1;;1
10.1038/s41598-017-00191-y;;;;1;;;1;;;1
10.1016/j.trac.2017.03.008;;;;1;;;;1;;1
10.1016/j.ica.2017.03.038;;;;;;;;1;;1
10.1016/j.actamat.2017.03.044;;;;1;;;;1;;1
10.1038/s41598-017-00541-w;;;;1;;;1;;;1
10.2138/am-2017-5853;;;;1;;;;;;1
10.1016/j.jsb.2017.03.006;;;;1;;;;1;;1
10.3390/su9030396;;;;;;;;;;1
10.1126/science.aaf4901;;;;1;;;;;;1
10.1117/12.2251790;;;;1;;;;;;1
10.1038/srep43514;1;;;1;;;1;;;1
10.1038/srep43564;1;;;1;;;1;;;1
10.1126/sciadv.1602498;;;;1;;;;1;;1
10.1038/nmicrobiol.2017.35;;;;1;;;1;;;1
10.1016/j.bbrc.2017.04.074;;;;1;;;;1;;1
10.1063/1.4978870;;;;1;;;;;;1
10.1016/j.jpowsour.2017.03.086;;;;1;;;;1;;1
10.1073/pnas.1701640114;;;;1;;;;;;1
10.1126/science.aag1006;;;;1;;;;;;1
10.1038/srep44366;;;;1;;;1;;;1
10.1080/17435390.2017.1311381;1;;;1;;;;;;1
10.1002/cphc.201601323;;;;1;;;;;;1
10.5772/67355;;;;;;;;;;1
10.5772/65427;;;;;;;;;;1
10.1016/j.margeo.2017.04.011;1;;;1;;;;1;;1
10.1002/pssb.201600413;;;;1;;;;;;1
10.1016/j.jmbbm.2017.05.012;1;;;1;;;;1;;1
10.1038/srep45389;;;;1;;;1;;;1
10.3389/fpls.2017.00329;1;;;1;;;;;;1
10.3390/min7030034;;;;;;;;;;1
10.1371/journal.pone.0175488;;;;1;;;;;;1
10.1021/acs.jpcc.7b00882;;;;1;;;;;;1
10.1016/j.envpol.2017.04.038;;;;1;;;;1;;1
10.1063/1.4978943;;;;1;;;;;;1
10.1038/s41598-017-00921-2;;;;1;;;1;;;1
10.1007/s10971-017-4363-6;;;;1;;;1;;;1
10.1016/j.tsf.2017.05.002;;;;1;;;;1;;1
10.1002/cssc.201601752;;;;1;;;;;;1
10.1042/bcj20170217;;;;1;;;;;;
10.1107/s2059798318002735;;;;1;;;;;;
10.3390/cryst7020037;;;;;;;;;;1
10.1021/jacs.6b13050;;;;1;;;;1;;1
10.1111/maps.12841;;;;1;;;;;;1
10.1080/08957959.2016.1267165;;;;1;;;;;;1
10.1080/08957959.2017.1306626;;;;1;;;;;;1
10.1021/acs.macromol.6b02309;;;;1;;;;;;1
10.1063/1.4977102;;;;1;;;;;;1
10.1088/1361-6528/aa61dd;;;;1;;;;;;1
10.1021/acs.est.6b05453;;;;1;;;;;;1
10.1002/advs.201700132;1;;;1;;;;;;1
10.1021/acs.est.6b02734;;;;1;;;;;;1
10.1021/acs.cgd.6b01599;;;;1;;;;;;1
10.1021/acs.est.7b00422;1;;;1;;;;;;1
10.1371/journal.pone.0174478;;;;1;;;;;1;1
10.1021/acschembio.6b01053;;;;1;;;;;;1
10.1371/journal.pone.0172507;;;;1;;;;;1;1
10.1002/ajpa.23252;;;;1;;;;;;1
10.1039/c6sm02727j;;;;1;;;;;;1
10.1021/jacs.6b11872;;;;1;;;;;;1
10.1038/s41598-017-02097-1;;;;1;;;1;;;1
10.1021/acs.jmedchem.6b01019;;;;1;;;;1;;1
10.1021/acs.jmedchem.6b01018;;;;1;;;;1;;1
10.1021/jacs.6b12246;;;;1;;;;;;1
10.1021/acs.jpcc.6b11594;;;;1;;;;;;1
10.1021/acs.jpcc.7b00311;;;;1;;;;;;1
10.1016/j.jmbbm.2017.05.021;1;;;1;;;;1;;1
10.1021/acs.jpcc.7b01715;;;;1;;;;;;1
10.1021/acs.analchem.6b03492;;;;1;;;;;;1
10.1038/srep45206;;;;1;;;1;;;1
10.1021/acs.chemmater.7b00766;;;;1;;;;;;1
10.1107/s1600577517017489;;;;1;;;;;;
10.1021/jacs.7b01039;;;;1;;;;;;1
10.1021/acs.inorgchem.6b01624;;;;1;;;;;;1
10.1038/srep43637;;;;1;;;1;;;1
10.1117/12.2254645;;;;1;;;;;;1
10.1016/j.jhevol.2017.03.007;;;;1;;;;1;;1
10.1021/acscatal.7b00508;;;;1;;;;;;1
10.1021/acs.macromol.6b02504;1;;;1;;;;;;1
10.1103/physrevb.97.174405;;;;1;;;;;;
10.1021/acs.jpclett.7b00210;;;;1;;;;;;1
10.1021/acscatal.7b00410;;;;1;;;;;;1
10.1021/acsenergylett.7b00139;;;;1;;;;;;1
10.1021/acs.analchem.6b04195;;;;1;;;;;;1
10.1093/nar/gkw1266;;;;1;;;;;;1
10.1073/pnas.1618552114;;;;1;;;;;;1
